time_index,card.nic.bps.avg.r
1781829600000.0,7171992000
1781829615000.0,7279473600
1781829630000.0,7843136000
1781829645000.0,7668354400
1781829660000.0,7339190800
1781829675000.0,7653679200
1781829690000.0,7581838400
1781829705000.0,7830210000
1781829720000.0,7980758000
1781829735000.0,7542115600
1781829750000.0,6922100800
1781829765000.0,8114993600
1781829780000.0,7390842800
1781829795000.0,7342913200
1781829810000.0,7352289600
1781829825000.0,7682297200
1781829840000.0,7596869200
1781829855000.0,7393926400
1781829870000.0,8163830800
1781829885000.0,7874505200
1781829900000.0,7842288400
1781829915000.0,7860872800
1781829930000.0,7574256800
1781829945000.0,7201750400
1781829960000.0,7211366800
1781829975000.0,6889295200
1781829990000.0,7479543200
1781830005000.0,7023433200
1781830020000.0,6979226000
1781830035000.0,7025010400
1781830050000.0,6707976000
1781830065000.0,7218349600
1781830080000.0,6686645600
1781830095000.0,6933239200
1781830110000.0,7214752000
1781830125000.0,6644871200
1781830140000.0,6339436400
1781830155000.0,6605566000
1781830170000.0,6097428000
1781830185000.0,6649837200
1781830200000.0,5728862800
1781830215000.0,6281666800
1781830230000.0,6036372400
1781830245000.0,5692621200
1781830260000.0,5488748000
1781830275000.0,6105114400
1781830290000.0,6003040000
1781830305000.0,6345381600
1781830320000.0,6937012000
1781830335000.0,7103505200
1781830350000.0,6964123200
1781830365000.0,6181344000
1781830380000.0,6696088400
1781830395000.0,6671635200
1781830410000.0,6873302800
1781830425000.0,6771748400
1781830440000.0,5944668400
1781830455000.0,5942837600
1781830470000.0,5637589600
1781830485000.0,6240445200
1781830500000.0,6381454400
1781830515000.0,6038304400
1781830530000.0,5772988400
1781830545000.0,5407254400
1781830560000.0,5737902800
1781830575000.0,5802576400
1781830590000.0,6576323600
1781830605000.0,6355138400
1781830620000.0,5536704800
1781830635000.0,5396936000
1781830650000.0,6131393600
1781830665000.0,6121744000
1781830680000.0,6186711200
1781830695000.0,5529444000
1781830710000.0,5047852000
1781830725000.0,6087592800
1781830740000.0,5644018000
1781830755000.0,5352610400
1781830770000.0,5429453600
1781830785000.0,6264019200
1781830800000.0,5564993200
1781830815000.0,5566754000
1781830830000.0,5478581200
1781830845000.0,5576634400
1781830860000.0,4728286000
1781830875000.0,5671086800
1781830890000.0,5924414400
1781830905000.0,5254362000
1781830920000.0,5581558000
1781830935000.0,6115512400
1781830950000.0,5794635600
1781830965000.0,5676201200
1781830980000.0,6107578400
1781830995000.0,6552468000
1781831010000.0,6120859200
1781831025000.0,6297742400
1781831040000.0,5731855600
1781831055000.0,5845953600
1781831070000.0,5684000400
1781831085000.0,5877430000
1781831100000.0,5814259200
1781831115000.0,6672776400
1781831130000.0,6254785600
1781831145000.0,5833084000
1781831160000.0,6365472000
1781831175000.0,6487136000
1781831190000.0,6042881200
1781831205000.0,6297541600
1781831220000.0,6723292000
1781831235000.0,6502594000
1781831250000.0,6733510800
1781831265000.0,6907743600
1781831280000.0,6578304800
1781831295000.0,6022539200
1781831310000.0,5784202800
1781831325000.0,5356460800
1781831340000.0,5049752800
1781831355000.0,5213108800
1781831370000.0,5080978800
1781831385000.0,4978615200
1781831400000.0,5060586800
1781831415000.0,5072271600
1781831430000.0,5035952400
1781831445000.0,4497652800
1781831460000.0,5028106800
1781831475000.0,5219758000
1781831490000.0,3846441200
1781831505000.0,4507143600
1781831520000.0,5038298400
1781831535000.0,5082688000
1781831550000.0,4117294400
1781831565000.0,4756725200
1781831580000.0,4904625200
1781831595000.0,4936314400
1781831610000.0,4042810000
