time_index,card.nic.pps.avg.r
1781829600000.0,35248
1781829615000.0,40493
1781829630000.0,12651
1781829645000.0,253176
1781829660000.0,264659
1781829675000.0,168364
1781829690000.0,116785
1781829705000.0,42303
1781829720000.0,45499
1781829735000.0,37721
1781829750000.0,39056
1781829765000.0,158730
1781829780000.0,30055
1781829795000.0,43965
1781829810000.0,47315
1781829825000.0,39706
1781829840000.0,73287
1781829855000.0,118316
1781829870000.0,54557
1781829885000.0,171080
1781829900000.0,116757
1781829915000.0,169609
1781829930000.0,33609
1781829945000.0,28118
1781829960000.0,40059
1781829975000.0,44152
1781829990000.0,51424
1781830005000.0,9036
1781830020000.0,234956
1781830035000.0,137814
1781830050000.0,172729
1781830065000.0,117190
1781830080000.0,44625
1781830095000.0,39930
1781830110000.0,38828
1781830125000.0,35363
1781830140000.0,42171
1781830155000.0,77235
1781830170000.0,156077
1781830185000.0,186206
1781830200000.0,143991
1781830215000.0,148358
1781830230000.0,31025
1781830245000.0,46152
1781830260000.0,48246
1781830275000.0,49415
1781830290000.0,49434
1781830305000.0,87790
1781830320000.0,273588
1781830335000.0,88089
1781830350000.0,152181
1781830365000.0,151072
1781830380000.0,49299
1781830395000.0,51655
1781830410000.0,48200
1781830425000.0,45810
1781830440000.0,45284
1781830455000.0,42682
1781830470000.0,147854
1781830485000.0,183003
1781830500000.0,140175
1781830515000.0,179118
1781830530000.0,49340
1781830545000.0,44197
1781830560000.0,46918
1781830575000.0,37756
1781830590000.0,109965
1781830605000.0,137125
1781830620000.0,85571
1781830635000.0,45868
1781830650000.0,41092
1781830665000.0,54681
1781830680000.0,94592
1781830695000.0,99668
1781830710000.0,50325
1781830725000.0,44690
1781830740000.0,113011
1781830755000.0,41331
1781830770000.0,86631
1781830785000.0,118342
1781830800000.0,264709
1781830815000.0,172113
1781830830000.0,48060
1781830845000.0,48902
1781830860000.0,56365
1781830875000.0,162976
1781830890000.0,57694
1781830905000.0,30052
1781830920000.0,40864
1781830935000.0,41827
