time_index,card.nic.bps.avg.t
1781829600000.0,3163293080
1781829615000.0,3871542800
1781829630000.0,3888816400
1781829645000.0,3687490000
1781829660000.0,4766174000
1781829675000.0,4034720400
1781829690000.0,3642872000
1781829705000.0,3759450400
1781829720000.0,3513527200
1781829735000.0,3811432800
1781829750000.0,3718072800
1781829765000.0,4345120400
1781829780000.0,4229414000
1781829795000.0,4035242400
1781829810000.0,3684162800
1781829825000.0,3955880000
1781829840000.0,3443453600
1781829855000.0,3305476000
1781829870000.0,3324821200
1781829885000.0,3102414800
1781829900000.0,3122224800
1781829915000.0,3313662800
1781829930000.0,4419024400
1781829945000.0,3749499600
1781829960000.0,4521705600
1781829975000.0,3617112400
1781829990000.0,3442611600
1781830005000.0,3284683200
1781830020000.0,4116962400
1781830035000.0,3465639600
1781830050000.0,3862868800
1781830065000.0,3229642000
1781830080000.0,3302986800
1781830095000.0,2954102000
1781830110000.0,3577878000
1781830125000.0,4052119600
1781830140000.0,2763032800
1781830155000.0,3307328400
1781830170000.0,3704581200
1781830185000.0,3860096000
1781830200000.0,3504253200
1781830215000.0,3425225600
1781830230000.0,3646723200
1781830245000.0,3637548400
1781830260000.0,3016133440
1781830275000.0,3022984400
1781830290000.0,2591053840
1781830305000.0,2478291600
1781830320000.0,2729149600
1781830335000.0,3599557200
1781830350000.0,4151268800
1781830365000.0,3832992400
1781830380000.0,3041493800
1781830395000.0,3669747600
1781830410000.0,3409043880
1781830425000.0,3274029480
1781830440000.0,2871134000
1781830455000.0,2936850800
1781830470000.0,3564625200
1781830485000.0,3572600400
1781830500000.0,3397867200
1781830515000.0,3361946400
1781830530000.0,3505940400
1781830545000.0,3218330000
1781830560000.0,3755794400
1781830575000.0,2786371600
1781830590000.0,3407320000
1781830605000.0,3015362160
1781830620000.0,2360461200
1781830635000.0,3049290000
1781830650000.0,4201178000
1781830665000.0,3105664600
1781830680000.0,2994284120
1781830695000.0,2742401040
1781830710000.0,2668218160
1781830725000.0,3421036960
1781830740000.0,3049038000
1781830755000.0,2994230680
1781830770000.0,3022645600
1781830785000.0,2497854680
1781830800000.0,2945921200
1781830815000.0,3065408000
1781830830000.0,3340380160
1781830845000.0,3380115600
1781830860000.0,4184632800
1781830875000.0,3315057440
1781830890000.0,3426008680
1781830905000.0,3697394000
1781830920000.0,3164010920
1781830935000.0,2930595440
1781830950000.0,3251657600
1781830965000.0,2737093840
1781830980000.0,2498623080
1781830995000.0,2852564000
1781831010000.0,3084478680
1781831025000.0,2335253720
1781831040000.0,3422068120
1781831055000.0,3599094800
1781831070000.0,3187040680
1781831085000.0,3484740800
1781831100000.0,3080063800
1781831115000.0,2654470160
1781831130000.0,2972366240
1781831145000.0,2359400000
1781831160000.0,2631102800
1781831175000.0,2665675200
1781831190000.0,2503626800
1781831205000.0,3107695400
1781831220000.0,2570624600
1781831235000.0,1958751040
1781831250000.0,2327468000
1781831265000.0,2510667760
1781831280000.0,2386064600
1781831295000.0,3164719200
1781831310000.0,2239498240
1781831325000.0,2406030800
1781831340000.0,1365190360
1781831355000.0,1933277400
1781831370000.0,2348866400
1781831385000.0,2463250240
1781831400000.0,2732260160
1781831415000.0,3087718400
1781831430000.0,2963325760
1781831445000.0,2718421200
1781831460000.0,2660550400
1781831475000.0,2611260640
1781831490000.0,2484676200
1781831505000.0,2320422000
1781831520000.0,2600529600
1781831535000.0,2603538400
1781831550000.0,2846512000
1781831565000.0,2720376800
1781831580000.0,2252553440
1781831595000.0,1662827920
1781831610000.0,1958661720
1781831625000.0,2128320800
1781831640000.0,1990108800
1781831655000.0,2569732520
1781831670000.0,1876058520
1781831685000.0,1910053200
1781831700000.0,2541781200
1781831715000.0,2471902400
1781831730000.0,2426192680
1781831745000.0,2265601840
1781831760000.0,2246753200
1781831775000.0,2178720960
1781831790000.0,2711328000
1781831805000.0,2376948800
1781831820000.0,2530322240
1781831835000.0,2514113760
1781831850000.0,2184235000
1781831865000.0,1928485600
1781831880000.0,2295125600
1781831895000.0,1879251200
1781831910000.0,2201293600
1781831925000.0,2462728000
1781831940000.0,2309734800
1781831955000.0,2004597360
1781831970000.0,2535812520
1781831985000.0,2370616920
1781832000000.0,2161593200
1781832015000.0,2700365000
1781832030000.0,2216435200
1781832045000.0,2399436400
1781832060000.0,2598958680
1781832075000.0,2492960960
1781832090000.0,2222112400
1781832105000.0,1847124800
1781832120000.0,1628361720
1781832135000.0,2190484800
1781832150000.0,2040740240
1781832165000.0,1949154000
1781832180000.0,1458046400
1781832195000.0,1649546840
1781832210000.0,2553969600
1781832225000.0,2513814000
1781832240000.0,2228263320
1781832255000.0,2026263360
1781832270000.0,2153719800
1781832285000.0,2393872600
1781832300000.0,1628292520
1781832315000.0,2140774800
1781832330000.0,1956383200
1781832345000.0,2003990520
1781832360000.0,2276973200
1781832375000.0,1945043360
1781832390000.0,1802157600
1781832405000.0,1659592600
1781832420000.0,2736808160
1781832435000.0,1542350640
1781832450000.0,1342179960
1781832465000.0,1533030280
1781832480000.0,1376742520
1781832495000.0,1747115600
1781832510000.0,2059248800
1781832525000.0,1708205680
1781832540000.0,2010210400
1781832555000.0,1519861640
1781832570000.0,2147648800
1781832585000.0,2033017040
1781832600000.0,2218738800
1781832615000.0,2332965600
1781832630000.0,1566939560
1781832645000.0,1432171600
1781832660000.0,1857754800
1781832675000.0,1595234520
1781832690000.0,1610554800
1781832705000.0,1292268560
1781832720000.0,1477589400
1781832735000.0,1619637760
1781832750000.0,1624052720
1781832765000.0,2157126800
1781832780000.0,2234618280
1781832795000.0,1527036920
1781832810000.0,1451749080
1781832825000.0,1375245320
1781832840000.0,1494256800
1781832855000.0,1958604600
1781832870000.0,1565807920
1781832885000.0,984283360
1781832900000.0,1114809120
1781832915000.0,1623377720
1781832930000.0,1426517200
1781832945000.0,1416693640
1781832960000.0,1330945840
1781832975000.0,1272004400
1781832990000.0,1073351680
1781833005000.0,1446586400
1781833020000.0,1687411800
1781833035000.0,1995093600
1781833050000.0,1741564920
1781833065000.0,1541629840
1781833080000.0,1548827040
1781833095000.0,1515692400
1781833110000.0,2319973200
1781833125000.0,1579877880
1781833140000.0,1530340640
1781833155000.0,838033960
1781833170000.0,1438492280
1781833185000.0,1808271360
1781833200000.0,1267445200
1781833215000.0,2283652800
1781833230000.0,1216884320
1781833245000.0,1191807600
1781833260000.0,1087393080
1781833275000.0,1155696640
1781833290000.0,942152400
1781833305000.0,998937080
1781833320000.0,1439665040
1781833335000.0,1503412800
1781833350000.0,1330034400
1781833365000.0,1259680240
1781833380000.0,1628096520
1781833395000.0,1524784320
1781833410000.0,1250758560
1781833425000.0,1278703600
1781833440000.0,1092224800
1781833455000.0,991135040
1781833470000.0,774694160
1781833485000.0,1105424400
1781833500000.0,909123680
1781833515000.0,1394141680
1781833530000.0,1328102080
1781833545000.0,1631981600
1781833560000.0,1577494240
1781833575000.0,2138978800
1781833590000.0,1457405440
1781833605000.0,1242958800
1781833620000.0,1256787040
1781833635000.0,1481010000
1781833650000.0,1291566000
1781833665000.0,1396241600
1781833680000.0,1515294120
1781833695000.0,1319222160
1781833710000.0,1108442400
1781833725000.0,1164904840
1781833740000.0,1314933360
1781833755000.0,721221360
1781833770000.0,784245880
1781833785000.0,1175179200
1781833800000.0,999468000
1781833815000.0,934337760
1781833830000.0,971471040
1781833845000.0,1015948480
1781833860000.0,1132680800
1781833875000.0,1193831120
1781833890000.0,1427820960
1781833905000.0,953338160
1781833920000.0,1533584600
1781833935000.0,1131930000
1781833950000.0,1111215320
1781833965000.0,906092120
1781833980000.0,975211320
1781833995000.0,1253298400
1781834010000.0,1269202520
1781834025000.0,987349000
1781834040000.0,745710320
1781834055000.0,1186174160
1781834070000.0,1195460520
1781834085000.0,1182690720
1781834100000.0,1437811720
1781834115000.0,1284721440
1781834130000.0,872328000
1781834145000.0,710570000
1781834160000.0,1248015040
1781834175000.0,1014526040
1781834190000.0,768286800
1781834205000.0,1211201520
1781834220000.0,1366721200
1781834235000.0,1441031800
1781834250000.0,1020354000
1781834265000.0,1004636280
1781834280000.0,772681320
1781834295000.0,683956960
1781834310000.0,804959600
1781834325000.0,509084960
1781834340000.0,676378920
1781834355000.0,715582760
1781834370000.0,1024638800
1781834385000.0,665101840
1781834400000.0,978975440
1781834415000.0,771937520
1781834430000.0,746148880
1781834445000.0,843464000
1781834460000.0,973741680
1781834475000.0,819630600
1781834490000.0,541520280
1781834505000.0,665331720
1781834520000.0,987256400
1781834535000.0,902248400
1781834550000.0,519497560
1781834565000.0,1108198600
1781834580000.0,556833320
1781834595000.0,859035200
1781834610000.0,668593000
1781834625000.0,765079440
1781834640000.0,783578400
1781834655000.0,824089920
1781834670000.0,629294400
1781834685000.0,652620600
1781834700000.0,943767600
