time_index,card.nic.pps.avg.t
1781829600000.0,168760
1781829615000.0,188667
1781829630000.0,167480
1781829645000.0,173946
1781829660000.0,162636
1781829675000.0,167788
1781829690000.0,176144
1781829705000.0,174440
1781829720000.0,160423
1781829735000.0,176975
1781829750000.0,181947
1781829765000.0,187712
1781829780000.0,192720
1781829795000.0,181602
1781829810000.0,190197
1781829825000.0,205138
1781829840000.0,199854
1781829855000.0,193446
1781829870000.0,185570
1781829885000.0,192399
1781829900000.0,190666
1781829915000.0,210180
1781829930000.0,199066
1781829945000.0,184078
1781829960000.0,209621
1781829975000.0,184056
1781829990000.0,190835
1781830005000.0,196586
1781830020000.0,198884
1781830035000.0,190408
1781830050000.0,183179
1781830065000.0,193100
1781830080000.0,191078
1781830095000.0,203287
1781830110000.0,195624
1781830125000.0,205318
1781830140000.0,196171
1781830155000.0,188698
1781830170000.0,188943
1781830185000.0,187973
1781830200000.0,203287
1781830215000.0,194069
1781830230000.0,177626
1781830245000.0,187060
1781830260000.0,192056
1781830275000.0,190187
1781830290000.0,181148
1781830305000.0,180588
1781830320000.0,174478
1781830335000.0,178152
1781830350000.0,186734
1781830365000.0,177334
1781830380000.0,198155
1781830395000.0,187993
1781830410000.0,180324
1781830425000.0,191900
1781830440000.0,179341
1781830455000.0,196273
1781830470000.0,201772
1781830485000.0,195304
1781830500000.0,189035
1781830515000.0,192421
1781830530000.0,181406
1781830545000.0,173684
1781830560000.0,168743
1781830575000.0,180760
1781830590000.0,199984
1781830605000.0,197342
1781830620000.0,205390
1781830635000.0,197392
1781830650000.0,186961
1781830665000.0,179946
1781830680000.0,188460
1781830695000.0,180588
1781830710000.0,187104
1781830725000.0,198223
1781830740000.0,192968
1781830755000.0,196310
1781830770000.0,200864
1781830785000.0,192392
1781830800000.0,193976
1781830815000.0,187435
1781830830000.0,200101
1781830845000.0,189435
1781830860000.0,192395
1781830875000.0,199983
1781830890000.0,190245
1781830905000.0,198951
1781830920000.0,208173
1781830935000.0,202579
1781830950000.0,199656
1781830965000.0,206188
1781830980000.0,198594
1781830995000.0,198946
1781831010000.0,181372
1781831025000.0,201086
1781831040000.0,197211
1781831055000.0,180968
1781831070000.0,184835
1781831085000.0,175330
1781831100000.0,209542
1781831115000.0,216112
1781831130000.0,206283
1781831145000.0,202201
1781831160000.0,208867
1781831175000.0,201311
1781831190000.0,187746
1781831205000.0,193544
1781831220000.0,183536
1781831235000.0,185004
1781831250000.0,192155
1781831265000.0,189703
1781831280000.0,193151
1781831295000.0,188286
1781831310000.0,182254
1781831325000.0,194374
1781831340000.0,187488
1781831355000.0,180769
1781831370000.0,195630
1781831385000.0,200343
1781831400000.0,211383
1781831415000.0,190850
1781831430000.0,186072
1781831445000.0,177803
1781831460000.0,193430
1781831475000.0,178608
1781831490000.0,165926
1781831505000.0,193890
1781831520000.0,206090
1781831535000.0,215402
1781831550000.0,201769
1781831565000.0,188805
1781831580000.0,196990
1781831595000.0,196292
1781831610000.0,189529
1781831625000.0,197490
1781831640000.0,206441
1781831655000.0,202144
1781831670000.0,203478
1781831685000.0,192536
1781831700000.0,200392
1781831715000.0,192074
1781831730000.0,184304
1781831745000.0,200794
1781831760000.0,186134
1781831775000.0,186434
1781831790000.0,199113
1781831805000.0,194928
1781831820000.0,201823
1781831835000.0,203617
